method,bias,pct_bias,variance,coverage,ci_width
tmle,0.014646112394164338,0.0011268950359347675,1.5556299478180475,0.962,4.875787860351388
tmle_iid,-2.6803573164038146,0.20623092825577305,2.119775139437591,0.55,5.709348643712889
ols,-2.6546643247368085,0.204254068868882,2.112969552983024,0.548,5.700542064930396
tmle_super,0.1336943258859457,0.010286652738889726,1.5557264681035028,0.94,4.875959088018694
tmle_iid_super,-2.683187597117667,0.20644869452718392,2.129817648056247,0.5675,5.722690368962994
