no2,n2_2019,ZEV_2019_pct,ZEV_2013_pct,ZCTA,pop,medin_g,pct_cll,pct_hgh,pct_wht,mdn_ncm,pct_pvr,pct_wn_,mdn_hm_,pct_aut,p__2013,pct_pb_,pct_wfh,D1C5_IN,D3A,D4C,NtWlkIn
-1.762051211572377,13.989287254621635,1.838445132025594,0.5947985888916236,90001,59832,29.1,5.6,47.2,41.9,43360,23.3,35.9,359000,67.5,64.6,11.4,2.6,1.583694650173078,23.892796984262578,16.039019847467067,14.587117771100539
-1.5940633863261393,13.304762022625082,1.7800487593093544,0.43853308274300035,90002,53302,28,6,49.2,43,37285,31.2,35,345900,68.2,68.9,13.4,1.6,0.192376660081863,29.031848049110703,14.20506145049462,14.536023797835297
-1.294072537565107,13.010784266943658,1.7777777777777777,0.45474388824214207,90003,73730,28.3,5.8,52.1,33.1,40598,28.7,28.3,362800,69.5,59.8,12.4,2.2,0.591265349744285,34.87377228520337,19.100241150699375,14.783416871965557
-1.594912812784747,11.128066409977018,8.263348249862073,4.035647007680046,90004,60541,35.2,35,74.5,35.7,49675,14.4,16.6,1063200,66.1,56.9,18.4,5.6,0.35129015717462603,22.977665704929628,14.090326164021741,15.092783104055027
-1.619848977224624,11.055732921839247,7.157476170984153,2.827087442472058,90005,39732,35.6,31.3,70.4,23.3,38491,21.5,7.7,777100,52.2,42.7,27.9,5.3,1.262351133261463,24.45584402298873,44.156287643823866,16.133250529532518
-1.5967639963513314,11.91007346912063,4.417427267541358,1.323898653275508,90006,59576,34.1,19,58.4,33.6,37072,23.8,9,608600,53,43.9,28.1,3.4,0.804069156276512,27.948426135283057,21.422203447463804,16.655762716100362
-1.3205926222420885,12.77759220067644,3.9060170552805773,1.5016088666428316,90007,42433,24.3,26.6,65.5,36.8,27406,23.2,12.3,622600,47,43.9,15.9,4.1,2.238453422567632,32.43258946928373,50.77677122841248,15.931400012485078
-0.846666592173305,10.595086899645702,5.453597497393118,1.6667782314746638,90008,31754,43.2,30,83.9,17.5,43364,16.8,33,701800,75.5,69.2,9.4,6.4,0.049376313367921,23.242027476983488,16.508595819359144,12.395140425160138
-1.6030599694987622,10.916587159978576,5.704748900015172,3.862822687017147,90010,3822,37.1,50.1,91.9,21.2,63112,12.7,17.6,866000,55.9,58.3,15.5,2.3,2.80995627449745,22.73006775558612,40.104039827606314,16.06183562891609
-1.2913907305152623,14.33055593966308,1.7610833003205244,0.4942254999871962,90011,111165,28.7,5.2,41.9,44.7,40940,29.7,26,377600,58.7,53.9,17.3,2.7,1.658023382959483,29.783288253192136,22.452673181288986,15.469813938855062
-2.319553617503672,14.546459659090726,12.075654704170708,5.716162943495401,90012,36552,35.3,33.1,71.8,27.9,47027,19,9,533200,58.7,56.8,11.6,8.2,9.59454314423237,28.524055257585065,105.58834074434756,13.371139773384648
-2.2024628887934075,14.74181089813967,10.777427948655848,5.935408786732616,90013,12559,43.3,37.7,84.8,37.4,22316,11.6,7.8,657400,38.7,43.9,23.5,11.4,12.18845724736694,26.707763619863858,157.02409076390796,17.41497538081314
-1.9894752049305335,14.349078590267746,8.931648477886272,4.984944797591168,90014,8688,41.7,44,86,45,40641,16.5,2.6,544500,44.3,43.2,14.8,15.2,25.633846255086244,29.023002893737658,199.88169121219696,16.76492016601535
-1.6162164853638536,13.489748688568643,6.760374832663989,3.1157461053173687,90015,22651,31.9,39.3,72.6,38.7,43890,23.5,11.7,705000,43.1,46.8,23.4,7.9,9.216297981329266,35.61400145004806,134.25415169863746,17.69058129940841
-1.1286692529800835,10.015761979492314,5.648418771140521,1.6513009629174351,90016,45899,37.4,24.6,74.9,42.8,48715,13.4,36.9,566600,72.5,68.9,10,4.9,1.375185103799021,27.703111441137484,20.42650391377647,15.565320168237145
-1.855445013852906,13.556699206424817,7.7037425673312345,3.232787772216962,90017,27723,31.7,31.6,64,38.3,35605,31.3,4.2,651500,35.3,35,33.3,5.2,5.647326170845073,32.110887320365585,135.5421031872044,15.990252573972642
-1.2971775306108757,11.267058043770453,4.255249019413956,1.268186753528773,90018,53490,34.4,20.9,70.8,28.5,45984,16.6,30.5,586500,68.5,63,13.7,4.7,0.296109231402378,30.138845377950698,12.58405334139088,14.872646182452344
-1.4505918204041013,10.403219751451504,7.821714406065712,3.506873727087576,90019,64534,38.2,34.8,76.3,36.6,56389,13,27.9,932700,71.8,62.9,10.2,5.7,0.480003222399303,25.390892463697536,22.19211073988619,15.048523070009761
-1.6423903624915948,11.241015233079809,8.285904732605239,3.1693923839083205,90020,39189,34.4,41.8,82.4,27.3,49068,13.2,9.3,633700,64.1,56.5,18.4,4,0.629474015991531,21.028376457820606,31.4324020685297,14.218214460294712
-1.8204122613261422,15.248970312164476,8.039438756162305,4.537521815008725,90021,2945,39.2,29.6,67.1,42.5,21635,16.2,9,888900,24.6,39.8,20.9,25.1,12.818500402663824,26.393542284126045,77.39050686588946,16.33836163017334
-3.57930752481737,16.793446062672395,2.0782335015237052,0.563701531443467,90022,67014,32.6,8.8,53.9,51.6,46051,16.7,32.7,416900,72.5,63.8,8.1,1.4,1.40917636859071,27.001460557473603,18.638701098816846,14.780287467577594
