method,bias,pct_bias,variance,coverage,ci_width
tmle,0.13352320177507496,0.015406294405393779,1.5559108380368907,0.94,4.8762681724727885
tmle_iid,-2.5589357595756606,0.2952574320598113,1.0020803845224588,0.31,3.9241800470559762
ols,-2.521800199282074,0.2909726233734824,0.9987302277283905,0.32,3.9178014002540054
tmle_super,0.20796747665685975,0.023995890822927735,1.576270527252787,0.945,4.907916006894524
tmle_iid_super,-2.6458619491846425,0.30528722801176117,1.0060951745209392,0.305,3.9318638626851827
