estimate,value,method,samples,i
σ2,0.0004141950278989618,tmle_iid,1668,49
σ2net,0.00041419502789896207,tmle_iid,1668,49
σ2boot,NaN,tmle_iid,1668,49
ψ,1.4707803912263129,ols,1668,49
σ2,0.0016058783382444112,ols,1668,49
σ2net,0.0016058783382444112,ols,1668,49
ψ,1.4772516608888657,plugin,1668,50
σ2boot,NaN,plugin,1668,50
ψ,1.425275725405866,ipw,1668,50
σ2,0.0006184260470462366,ipw,1668,50
σ2net,0.0008870736051756384,ipw,1668,50
σ2boot,NaN,ipw,1668,50
stabilized,false,ipw,1668,50
ψ,1.4397094002750856,sipw,1668,50
σ2,0.0004136327388188613,sipw,1668,50
σ2net,0.000618032208908016,sipw,1668,50
σ2boot,NaN,sipw,1668,50
stabilized,true,sipw,1668,50
ψ,1.4775455735115528,onestep,1668,50
σ2,0.00041888212727647195,onestep,1668,50
σ2net,0.0006117292125897382,onestep,1668,50
σ2boot,NaN,onestep,1668,50
ψ,1.4792037460399678,tmle,1668,50
σ2,0.0004313599441237576,tmle,1668,50
σ2net,0.0006333490003864587,tmle,1668,50
σ2boot,NaN,tmle,1668,50
ψ,1.4560608940717046,plugin_iid,1668,50
σ2boot,NaN,plugin_iid,1668,50
ψ,1.4404742016118741,ipw_iid,1668,50
σ2,0.0006309152250002992,ipw_iid,1668,50
σ2net,0.0006309152250003002,ipw_iid,1668,50
σ2boot,NaN,ipw_iid,1668,50
stabilized,false,ipw_iid,1668,50
ψ,1.4416622560573757,sipw_iid,1668,50
σ2,0.0004484310244606039,sipw_iid,1668,50
σ2net,0.0004484310244606036,sipw_iid,1668,50
σ2boot,NaN,sipw_iid,1668,50
stabilized,true,sipw_iid,1668,50
ψ,1.4525843143713126,onestep_iid,1668,50
σ2,0.000401895781827958,onestep_iid,1668,50
σ2net,0.0004018957818279584,onestep_iid,1668,50
σ2boot,NaN,onestep_iid,1668,50
ψ,1.4542479432038862,tmle_iid,1668,50
σ2,0.0004248761613180518,tmle_iid,1668,50
σ2net,0.00042487616131805167,tmle_iid,1668,50
σ2boot,NaN,tmle_iid,1668,50
ψ,1.4561552409880303,ols,1668,50
σ2,0.0016803123127959328,ols,1668,50
σ2net,0.0016803123127959328,ols,1668,50
ψ,1.4971679476978055,plugin,1668,51
σ2boot,NaN,plugin,1668,51
ψ,1.454179359031858,ipw,1668,51
σ2,0.0005986821268225137,ipw,1668,51
σ2net,0.0006698606228195464,ipw,1668,51
σ2boot,NaN,ipw,1668,51
stabilized,false,ipw,1668,51
ψ,1.4439235470969627,sipw,1668,51
σ2,0.0004224457743935725,sipw,1668,51
σ2net,0.0004900597290943477,sipw,1668,51
σ2boot,NaN,sipw,1668,51
stabilized,true,sipw,1668,51
ψ,1.4963761545746717,onestep,1668,51
σ2,0.00042208602931365454,onestep,1668,51
σ2net,0.00047897421584446867,onestep,1668,51
σ2boot,NaN,onestep,1668,51
ψ,1.4962785076008203,tmle,1668,51
σ2,0.0004192025353071115,tmle,1668,51
σ2net,0.00047108276640599477,tmle,1668,51
σ2boot,NaN,tmle,1668,51
ψ,1.4717528421056592,plugin_iid,1668,51
σ2boot,NaN,plugin_iid,1668,51
ψ,1.4540829715219015,ipw_iid,1668,51
σ2,0.0006716028577701574,ipw_iid,1668,51
σ2net,0.0006716028577701568,ipw_iid,1668,51
σ2boot,NaN,ipw_iid,1668,51
stabilized,false,ipw_iid,1668,51
ψ,1.4601981551555268,sipw_iid,1668,51
σ2,0.00042973753540518814,sipw_iid,1668,51
σ2net,0.00042973753540518766,sipw_iid,1668,51
σ2boot,NaN,sipw_iid,1668,51
stabilized,true,sipw_iid,1668,51
ψ,1.4693221793858884,onestep_iid,1668,51
σ2,0.0004023301119711542,onestep_iid,1668,51
σ2net,0.00040233011197115463,onestep_iid,1668,51
σ2boot,NaN,onestep_iid,1668,51
ψ,1.4645226750085345,tmle_iid,1668,51
σ2,0.0003945174614945972,tmle_iid,1668,51
σ2net,0.00039451746149459757,tmle_iid,1668,51
σ2boot,NaN,tmle_iid,1668,51
ψ,1.4716361044195139,ols,1668,51
σ2,0.001668999591691602,ols,1668,51
σ2net,0.001668999591691602,ols,1668,51
ψ,1.505177573420767,plugin,1668,52
σ2boot,NaN,plugin,1668,52
ψ,1.4662255841114782,ipw,1668,52
σ2,0.0006649777681281097,ipw,1668,52
σ2net,0.0009111085408557029,ipw,1668,52
σ2boot,NaN,ipw,1668,52
stabilized,false,ipw,1668,52
ψ,1.457951160161576,sipw,1668,52
σ2,0.0004532529835817327,sipw,1668,52
σ2net,0.0005923118504727125,sipw,1668,52
σ2boot,NaN,sipw,1668,52
stabilized,true,sipw,1668,52
ψ,1.5041299935538732,onestep,1668,52
σ2,0.0004609036765697925,onestep,1668,52
σ2net,0.0005832719291976911,onestep,1668,52
σ2boot,NaN,onestep,1668,52
ψ,1.5074842327429088,tmle,1668,52
σ2,0.000467441602293774,tmle,1668,52
σ2net,0.0005978252625045451,tmle,1668,52
σ2boot,NaN,tmle,1668,52
ψ,1.4866901256649991,plugin_iid,1668,52
σ2boot,NaN,plugin_iid,1668,52
ψ,1.4518977773506205,ipw_iid,1668,52
σ2,0.0005426121990005425,ipw_iid,1668,52
σ2net,0.0005426121990005432,ipw_iid,1668,52
σ2boot,NaN,ipw_iid,1668,52
stabilized,false,ipw_iid,1668,52
ψ,1.456951513419683,sipw_iid,1668,52
σ2,0.00046508500073538794,sipw_iid,1668,52
σ2net,0.00046508500073538876,sipw_iid,1668,52
σ2boot,NaN,sipw_iid,1668,52
stabilized,true,sipw_iid,1668,52
ψ,1.4862086624792061,onestep_iid,1668,52
σ2,0.0004402167404240789,onestep_iid,1668,52
σ2net,0.0004402167404240795,onestep_iid,1668,52
σ2boot,NaN,onestep_iid,1668,52
ψ,1.4891336819456056,tmle_iid,1668,52
σ2,0.00044786160133688163,tmle_iid,1668,52
σ2net,0.00044786160133688147,tmle_iid,1668,52
σ2boot,NaN,tmle_iid,1668,52
ψ,1.4865537736252186,ols,1668,52
σ2,0.0017053075254815512,ols,1668,52
σ2net,0.0017053075254815512,ols,1668,52
ψ,1.475516709543122,plugin,1668,53
σ2boot,NaN,plugin,1668,53
ψ,1.4321085850513133,ipw,1668,53
σ2,0.000615240095501786,ipw,1668,53
σ2net,0.0006879455982015401,ipw,1668,53
σ2boot,NaN,ipw,1668,53
stabilized,false,ipw,1668,53
ψ,1.444776967538016,sipw,1668,53
σ2,0.0004181515652726364,sipw,1668,53
σ2net,0.0005122389475815279,sipw,1668,53
σ2boot,NaN,sipw,1668,53
stabilized,true,sipw,1668,53
ψ,1.4672195782962838,onestep,1668,53
σ2,0.00041230418192535087,onestep,1668,53
σ2net,0.0004910390475005243,onestep,1668,53
σ2boot,NaN,onestep,1668,53
ψ,1.479226983776951,tmle,1668,53
σ2,0.0004065866254130916,tmle,1668,53
σ2net,0.0004832191235380667,tmle,1668,53
σ2boot,NaN,tmle,1668,53
ψ,1.456438487687525,plugin_iid,1668,53
σ2boot,NaN,plugin_iid,1668,53
ψ,1.4486287839493404,ipw_iid,1668,53
σ2,0.0005850498821021006,ipw_iid,1668,53
σ2net,0.0005850498821021012,ipw_iid,1668,53
σ2boot,NaN,ipw_iid,1668,53
stabilized,false,ipw_iid,1668,53
ψ,1.4299280377227253,sipw_iid,1668,53
σ2,0.0003988850326809372,sipw_iid,1668,53
σ2net,0.00039888503268093714,sipw_iid,1668,53
σ2boot,NaN,sipw_iid,1668,53
stabilized,true,sipw_iid,1668,53
ψ,1.4545281052784884,onestep_iid,1668,53
σ2,0.00039022724059805823,onestep_iid,1668,53
σ2net,0.00039022724059805807,onestep_iid,1668,53
σ2boot,NaN,onestep_iid,1668,53
ψ,1.458491984335203,tmle_iid,1668,53
σ2,0.00041143972570322683,tmle_iid,1668,53
σ2net,0.00041143972570322607,tmle_iid,1668,53
σ2boot,NaN,tmle_iid,1668,53
ψ,1.4563605989132111,ols,1668,53
σ2,0.0015683057371972534,ols,1668,53
σ2net,0.0015683057371972534,ols,1668,53
ψ,1.5036593744717126,plugin,1668,54
σ2boot,NaN,plugin,1668,54
ψ,1.4617310353133912,ipw,1668,54
σ2,0.0005307130569432209,ipw,1668,54
σ2net,0.0007063384029477458,ipw,1668,54
σ2boot,NaN,ipw,1668,54
stabilized,false,ipw,1668,54
ψ,1.4571162818275798,sipw,1668,54
σ2,0.0004108856614817359,sipw,1668,54
σ2net,0.0005932111680908459,sipw,1668,54
σ2boot,NaN,sipw,1668,54
stabilized,true,sipw,1668,54
ψ,1.5071985213828694,onestep,1668,54
σ2,0.0004124186844222418,onestep,1668,54
σ2net,0.0005713525940723046,onestep,1668,54
σ2boot,NaN,onestep,1668,54
ψ,1.50721771379727,tmle,1668,54
σ2,0.0004328374977705115,tmle,1668,54
σ2net,0.000587569920416036,tmle,1668,54
σ2boot,NaN,tmle,1668,54
ψ,1.4806637442558492,plugin_iid,1668,54
σ2boot,NaN,plugin_iid,1668,54
ψ,1.4579326205935261,ipw_iid,1668,54
σ2,0.0006400252884402336,ipw_iid,1668,54
σ2net,0.0006400252884402329,ipw_iid,1668,54
σ2boot,NaN,ipw_iid,1668,54
stabilized,false,ipw_iid,1668,54
ψ,1.4603363854288758,sipw_iid,1668,54
σ2,0.00040718084521573935,sipw_iid,1668,54
σ2net,0.00040718084521573897,sipw_iid,1668,54
σ2boot,NaN,sipw_iid,1668,54
stabilized,true,sipw_iid,1668,54
ψ,1.4789444912824936,onestep_iid,1668,54
σ2,0.0003893530583017744,onestep_iid,1668,54
σ2net,0.00038935305830177454,onestep_iid,1668,54
σ2boot,NaN,onestep_iid,1668,54
ψ,1.4770067960415234,tmle_iid,1668,54
σ2,0.000400622416406891,tmle_iid,1668,54
σ2net,0.0004006224164068907,tmle_iid,1668,54
σ2boot,NaN,tmle_iid,1668,54
ψ,1.4804775668674526,ols,1668,54
σ2,0.00166447288268632,ols,1668,54
σ2net,0.00166447288268632,ols,1668,54
ψ,1.4880275003217995,plugin,1668,55
σ2boot,NaN,plugin,1668,55
ψ,1.4405777794691748,ipw,1668,55
σ2,0.0005862710688821552,ipw,1668,55
σ2net,0.0007043266712074064,ipw,1668,55
σ2boot,NaN,ipw,1668,55
stabilized,false,ipw,1668,55
ψ,1.4352737556259219,sipw,1668,55
σ2,0.00041268526034496063,sipw,1668,55
σ2net,0.0005419858622036387,sipw,1668,55
σ2boot,NaN,sipw,1668,55
stabilized,true,sipw,1668,55
ψ,1.493613616103008,onestep,1668,55
σ2,0.00043024375100074474,onestep,1668,55
σ2net,0.0005506015781375802,onestep,1668,55
σ2boot,NaN,onestep,1668,55
ψ,1.488921974937777,tmle,1668,55
σ2,0.0004215734206264365,tmle,1668,55
σ2net,0.0005611826663072321,tmle,1668,55
σ2boot,NaN,tmle,1668,55
ψ,1.4644105406607528,plugin_iid,1668,55
σ2boot,NaN,plugin_iid,1668,55
ψ,1.4439443092382025,ipw_iid,1668,55
σ2,0.0006806916836267308,ipw_iid,1668,55
σ2net,0.0006806916836267306,ipw_iid,1668,55
σ2boot,NaN,ipw_iid,1668,55
stabilized,false,ipw_iid,1668,55
ψ,1.440426772524525,sipw_iid,1668,55
σ2,0.0004076332310914632,sipw_iid,1668,55
σ2net,0.00040763323109146304,sipw_iid,1668,55
σ2boot,NaN,sipw_iid,1668,55
stabilized,true,sipw_iid,1668,55
ψ,1.4676959491014208,onestep_iid,1668,55
σ2,0.00042187793415349753,onestep_iid,1668,55
σ2net,0.00042187793415349775,onestep_iid,1668,55
σ2boot,NaN,onestep_iid,1668,55
ψ,1.4608118805424695,tmle_iid,1668,55
σ2,0.00041506826622143605,tmle_iid,1668,55
σ2net,0.000415068266221435,tmle_iid,1668,55
σ2boot,NaN,tmle_iid,1668,55
ψ,1.464313398384772,ols,1668,55
σ2,0.001643403844248595,ols,1668,55
σ2net,0.001643403844248595,ols,1668,55
ψ,1.4692515030610833,plugin,1668,56
σ2boot,NaN,plugin,1668,56
ψ,1.4316645776113455,ipw,1668,56
σ2,0.0007353963490851725,ipw,1668,56
σ2net,0.0010286339105430422,ipw,1668,56
σ2boot,NaN,ipw,1668,56
stabilized,false,ipw,1668,56
ψ,1.4229602663252967,sipw,1668,56
σ2,0.00040215810720476856,sipw,1668,56
σ2net,0.0005545279868289021,sipw,1668,56
σ2boot,NaN,sipw,1668,56
stabilized,true,sipw,1668,56
ψ,1.4624356997131627,onestep,1668,56
σ2,0.00039483925837802884,onestep,1668,56
σ2net,0.0005394839860488176,onestep,1668,56
σ2boot,NaN,onestep,1668,56
ψ,1.4719314864195217,tmle,1668,56
σ2,0.0004012100166357084,tmle,1668,56
σ2net,0.0005543222590873596,tmle,1668,56
σ2boot,NaN,tmle,1668,56
ψ,1.449869177993234,plugin_iid,1668,56
σ2boot,NaN,plugin_iid,1668,56
ψ,1.4228686788366254,ipw_iid,1668,56
σ2,0.000615818368886829,ipw_iid,1668,56
σ2net,0.0006158183688868287,ipw_iid,1668,56
σ2boot,NaN,ipw_iid,1668,56
stabilized,false,ipw_iid,1668,56
ψ,1.4275135340052978,sipw_iid,1668,56
σ2,0.00039284679994976607,sipw_iid,1668,56
σ2net,0.000392846799949767,sipw_iid,1668,56
σ2boot,NaN,sipw_iid,1668,56
stabilized,true,sipw_iid,1668,56
ψ,1.4429157027883412,onestep_iid,1668,56
σ2,0.0003794825702324337,onestep_iid,1668,56
σ2net,0.00037948257023243424,onestep_iid,1668,56
σ2boot,NaN,onestep_iid,1668,56
ψ,1.4494630595620919,tmle_iid,1668,56
σ2,0.00038907804438368017,tmle_iid,1668,56
σ2net,0.00038907804438368033,tmle_iid,1668,56
σ2boot,NaN,tmle_iid,1668,56
ψ,1.4498026778669224,ols,1668,56
σ2,0.0016151028620919564,ols,1668,56
σ2net,0.0016151028620919564,ols,1668,56
ψ,1.475897414481766,plugin,1668,57
σ2boot,NaN,plugin,1668,57
ψ,1.4394643953816006,ipw,1668,57
σ2,0.0007013822817956021,ipw,1668,57
σ2net,0.000778030038855454,ipw,1668,57
σ2boot,NaN,ipw,1668,57
stabilized,false,ipw,1668,57
ψ,1.428917346458802,sipw,1668,57
σ2,0.00042837555840074696,sipw,1668,57
σ2net,0.0005558619534645172,sipw,1668,57
σ2boot,NaN,sipw,1668,57
stabilized,true,sipw,1668,57
ψ,1.4741936705528025,onestep,1668,57
σ2,0.00042229020736046373,onestep,1668,57
σ2net,0.0005280587667826541,onestep,1668,57
σ2boot,NaN,onestep,1668,57
ψ,1.4724293483157502,tmle,1668,57
σ2,0.0004260635900199182,tmle,1668,57
σ2net,0.0005227213943300689,tmle,1668,57
σ2boot,NaN,tmle,1668,57
ψ,1.4569828057382508,plugin_iid,1668,57
σ2boot,NaN,plugin_iid,1668,57
ψ,1.4367096149563074,ipw_iid,1668,57
σ2,0.0006444121296723618,ipw_iid,1668,57
σ2net,0.0006444121296723616,ipw_iid,1668,57
σ2boot,NaN,ipw_iid,1668,57
stabilized,false,ipw_iid,1668,57
ψ,1.4404517674530586,sipw_iid,1668,57
σ2,0.00042154600217518334,sipw_iid,1668,57
σ2net,0.0004215460021751835,sipw_iid,1668,57
σ2boot,NaN,sipw_iid,1668,57
stabilized,true,sipw_iid,1668,57
ψ,1.4587438499190548,onestep_iid,1668,57
σ2,0.00042829274056753735,onestep_iid,1668,57
σ2net,0.00042829274056753767,onestep_iid,1668,57
σ2boot,NaN,onestep_iid,1668,57
ψ,1.4587519147699004,tmle_iid,1668,57
σ2,0.00041155939227775047,tmle_iid,1668,57
σ2net,0.0004115593922777505,tmle_iid,1668,57
σ2boot,NaN,tmle_iid,1668,57
ψ,1.4569012698964687,ols,1668,57
σ2,0.001701406145304008,ols,1668,57
σ2net,0.001701406145304008,ols,1668,57
ψ,1.5003132742341412,plugin,1668,58
σ2boot,NaN,plugin,1668,58
ψ,1.4508333700338676,ipw,1668,58
σ2,0.0007727281973638932,ipw,1668,58
σ2net,0.0010673266649441516,ipw,1668,58
σ2boot,NaN,ipw,1668,58
stabilized,false,ipw,1668,58
ψ,1.4594435766302611,sipw,1668,58
σ2,0.00038049838990339717,sipw,1668,58
σ2net,0.000473114534422832,sipw,1668,58
σ2boot,NaN,sipw,1668,58
stabilized,true,sipw,1668,58
ψ,1.500101935142009,onestep,1668,58
σ2,0.0004056878556027404,onestep,1668,58
σ2net,0.0004883630942810096,onestep,1668,58
σ2boot,NaN,onestep,1668,58
ψ,1.5012227700106842,tmle,1668,58
σ2,0.00040105342507783704,tmle,1668,58
σ2net,0.0004891054579074638,tmle,1668,58
σ2boot,NaN,tmle,1668,58
ψ,1.4788618914091773,plugin_iid,1668,58
σ2boot,NaN,plugin_iid,1668,58
ψ,1.4604124788380826,ipw_iid,1668,58
σ2,0.00045388012580058695,ipw_iid,1668,58
σ2net,0.00045388012580058646,ipw_iid,1668,58
σ2boot,NaN,ipw_iid,1668,58
stabilized,false,ipw_iid,1668,58
ψ,1.4652888090563858,sipw_iid,1668,58
σ2,0.000416046490725151,sipw_iid,1668,58
σ2net,0.0004160464907251511,sipw_iid,1668,58
σ2boot,NaN,sipw_iid,1668,58
stabilized,true,sipw_iid,1668,58
ψ,1.4782377383861494,onestep_iid,1668,58
σ2,0.00039695258046991704,onestep_iid,1668,58
σ2net,0.0003969525804699166,onestep_iid,1668,58
σ2boot,NaN,onestep_iid,1668,58
ψ,1.4878595293230272,tmle_iid,1668,58
σ2,0.0003907086360251753,tmle_iid,1668,58
σ2net,0.0003907086360251755,tmle_iid,1668,58
σ2boot,NaN,tmle_iid,1668,58
ψ,1.47874667694864,ols,1668,58
σ2,0.0016858772745520308,ols,1668,58
σ2net,0.0016858772745520308,ols,1668,58
ψ,1.494182546474358,plugin,1668,59
σ2boot,NaN,plugin,1668,59
ψ,1.4544566066703086,ipw,1668,59
σ2,0.0006240237777117887,ipw,1668,59
σ2net,0.0006933345304389876,ipw,1668,59
σ2boot,NaN,ipw,1668,59
stabilized,false,ipw,1668,59
ψ,1.4549109632075643,sipw,1668,59
σ2,0.0004224835325980937,sipw,1668,59
σ2net,0.0005234770575649307,sipw,1668,59
σ2boot,NaN,sipw,1668,59
stabilized,true,sipw,1668,59
ψ,1.4947202658872845,onestep,1668,59
σ2,0.00041644244098577697,onestep,1668,59
σ2net,0.0004944738254050579,onestep,1668,59
σ2boot,NaN,onestep,1668,59
ψ,1.4904945713291071,tmle,1668,59
σ2,0.00042158521816031065,tmle,1668,59
σ2net,0.0005080329559287212,tmle,1668,59
σ2boot,NaN,tmle,1668,59
ψ,1.469836773565807,plugin_iid,1668,59
σ2boot,NaN,plugin_iid,1668,59
ψ,1.4543489424528737,ipw_iid,1668,59
σ2,0.0005689254604401781,ipw_iid,1668,59
σ2net,0.000568925460440178,ipw_iid,1668,59
σ2boot,NaN,ipw_iid,1668,59
stabilized,false,ipw_iid,1668,59
ψ,1.44998979223167,sipw_iid,1668,59
σ2,0.00040087359720651747,sipw_iid,1668,59
σ2net,0.0004008735972065181,sipw_iid,1668,59
σ2boot,NaN,sipw_iid,1668,59
stabilized,true,sipw_iid,1668,59
ψ,1.4740827087647814,onestep_iid,1668,59
σ2,0.0003968276563094027,onestep_iid,1668,59
σ2net,0.00039682765630940264,onestep_iid,1668,59
σ2boot,NaN,onestep_iid,1668,59
ψ,1.4680912146043819,tmle_iid,1668,59
σ2,0.00040467898376995667,tmle_iid,1668,59
σ2net,0.00040467898376995694,tmle_iid,1668,59
σ2boot,NaN,tmle_iid,1668,59
ψ,1.4697590220647048,ols,1668,59
σ2,0.0016417726201993087,ols,1668,59
σ2net,0.0016417726201993087,ols,1668,59
ψ,1.5095305772281744,plugin,1668,60
σ2boot,NaN,plugin,1668,60
ψ,1.4687169096308539,ipw,1668,60
σ2,0.0006802071925609641,ipw,1668,60
σ2net,0.0009345900469278589,ipw,1668,60
σ2boot,NaN,ipw,1668,60
stabilized,false,ipw,1668,60
ψ,1.4729916356002908,sipw,1668,60
σ2,0.00045501134442692975,sipw,1668,60
σ2net,0.0007095392235759837,sipw,1668,60
σ2boot,NaN,sipw,1668,60
stabilized,true,sipw,1668,60
ψ,1.5105701864419216,onestep,1668,60
σ2,0.00044921206688584636,onestep,1668,60
σ2net,0.0006930478628964726,onestep,1668,60
σ2boot,NaN,onestep,1668,60
ψ,1.5126617368593054,tmle,1668,60
σ2,0.0004555897245834925,tmle,1668,60
σ2net,0.0006917582238701006,tmle,1668,60
σ2boot,NaN,tmle,1668,60
ψ,1.4881575552401476,plugin_iid,1668,60
σ2boot,NaN,plugin_iid,1668,60
ψ,1.47262403443362,ipw_iid,1668,60
σ2,0.0006425290551768186,ipw_iid,1668,60
σ2net,0.0006425290551768181,ipw_iid,1668,60
σ2boot,NaN,ipw_iid,1668,60
stabilized,false,ipw_iid,1668,60
ψ,1.4606816712597632,sipw_iid,1668,60
σ2,0.0004124407541391824,sipw_iid,1668,60
σ2net,0.0004124407541391821,sipw_iid,1668,60
σ2boot,NaN,sipw_iid,1668,60
stabilized,true,sipw_iid,1668,60
ψ,1.4944514606925512,onestep_iid,1668,60
σ2,0.00042508244752973725,onestep_iid,1668,60
σ2net,0.00042508244752973676,onestep_iid,1668,60
σ2boot,NaN,onestep_iid,1668,60
ψ,1.4907121178869556,tmle_iid,1668,60
σ2,0.0004165743135219802,tmle_iid,1668,60
σ2net,0.0004165743135219797,tmle_iid,1668,60
σ2boot,NaN,tmle_iid,1668,60
ψ,1.4879925445766375,ols,1668,60
σ2,0.0017712988354503555,ols,1668,60
σ2net,0.0017712988354503555,ols,1668,60
ψ,1.4964344655977173,plugin,1668,61
σ2boot,NaN,plugin,1668,61
ψ,1.4499875029537728,ipw,1668,61
σ2,0.0006924787948121865,ipw,1668,61
σ2net,0.0008003621075112322,ipw,1668,61
σ2boot,NaN,ipw,1668,61
stabilized,false,ipw,1668,61
ψ,1.4509648986594235,sipw,1668,61
σ2,0.0004709116641812523,sipw,1668,61
σ2net,0.0005661728652762078,sipw,1668,61
σ2boot,NaN,sipw,1668,61
stabilized,true,sipw,1668,61
ψ,1.4977426060746868,onestep,1668,61
σ2,0.0004292928345658748,onestep,1668,61
σ2net,0.0005291408360341887,onestep,1668,61
σ2boot,NaN,onestep,1668,61
ψ,1.4971738222254303,tmle,1668,61
σ2,0.0004340159620928369,tmle,1668,61
σ2net,0.0005285768570574353,tmle,1668,61
σ2boot,NaN,tmle,1668,61
ψ,1.4744670783861817,plugin_iid,1668,61
σ2boot,NaN,plugin_iid,1668,61
ψ,1.45011405361924,ipw_iid,1668,61
σ2,0.0006119157907209944,ipw_iid,1668,61
σ2net,0.0006119157907209951,ipw_iid,1668,61
σ2boot,NaN,ipw_iid,1668,61
stabilized,false,ipw_iid,1668,61
ψ,1.4541132974477473,sipw_iid,1668,61
σ2,0.00041736597629200004,sipw_iid,1668,61
σ2net,0.00041736597629199966,sipw_iid,1668,61
σ2boot,NaN,sipw_iid,1668,61
stabilized,true,sipw_iid,1668,61
ψ,1.4742138974920231,onestep_iid,1668,61
σ2,0.00042557224751272276,onestep_iid,1668,61
σ2net,0.0004255722475127232,onestep_iid,1668,61
σ2boot,NaN,onestep_iid,1668,61
ψ,1.4727145164153335,tmle_iid,1668,61
σ2,0.0004131915163491957,tmle_iid,1668,61
σ2net,0.0004131915163491958,tmle_iid,1668,61
σ2boot,NaN,tmle_iid,1668,61
ψ,1.474432935038562,ols,1668,61
σ2,0.0016576027895083868,ols,1668,61
σ2net,0.0016576027895083868,ols,1668,61
ψ,1.5026404004722773,plugin,1668,62
σ2boot,NaN,plugin,1668,62
ψ,1.4654632930327456,ipw,1668,62
σ2,0.0009564000192390381,ipw,1668,62
σ2net,0.0014270279101687197,ipw,1668,62
σ2boot,NaN,ipw,1668,62
stabilized,false,ipw,1668,62
ψ,1.4664328716304682,sipw,1668,62
σ2,0.00041668169259379863,sipw,1668,62
σ2net,0.0005922857482514711,sipw,1668,62
σ2boot,NaN,sipw,1668,62
stabilized,true,sipw,1668,62
ψ,1.5078418066532318,onestep,1668,62
σ2,0.0004131634225606277,onestep,1668,62
σ2net,0.0005654263139500573,onestep,1668,62
σ2boot,NaN,onestep,1668,62
ψ,1.4965501406488046,tmle,1668,62
σ2,0.0004059677487950045,tmle,1668,62
σ2net,0.0005817998637011269,tmle,1668,62
σ2boot,NaN,tmle,1668,62
ψ,1.4822498557844404,plugin_iid,1668,62
σ2boot,NaN,plugin_iid,1668,62
ψ,1.4541549651493444,ipw_iid,1668,62
σ2,0.0006748135608710319,ipw_iid,1668,62
σ2net,0.000674813560871033,ipw_iid,1668,62
σ2boot,NaN,ipw_iid,1668,62
stabilized,false,ipw_iid,1668,62
ψ,1.4464348173904864,sipw_iid,1668,62
σ2,0.00038577755929210093,sipw_iid,1668,62
σ2net,0.0003857775592921015,sipw_iid,1668,62
σ2boot,NaN,sipw_iid,1668,62
stabilized,true,sipw_iid,1668,62
ψ,1.4850022273856824,onestep_iid,1668,62
σ2,0.0003994391004232471,onestep_iid,1668,62
σ2net,0.00039943910042324727,onestep_iid,1668,62
σ2boot,NaN,onestep_iid,1668,62
ψ,1.479287879854503,tmle_iid,1668,62
σ2,0.00039114416974693147,tmle_iid,1668,62
σ2net,0.00039114416974693207,tmle_iid,1668,62
σ2boot,NaN,tmle_iid,1668,62
ψ,1.4822062980896407,ols,1668,62
σ2,0.001694248865350976,ols,1668,62
σ2net,0.001694248865350976,ols,1668,62
ψ,1.4944450269407048,plugin,1668,63
σ2boot,NaN,plugin,1668,63
ψ,1.4317293452011057,ipw,1668,63
σ2,0.0006333577875273836,ipw,1668,63
σ2net,0.0009434306835856802,ipw,1668,63
σ2boot,NaN,ipw,1668,63
stabilized,false,ipw,1668,63
ψ,1.4453978923350035,sipw,1668,63
σ2,0.00041200188857989657,sipw,1668,63
σ2net,0.0006681355793817001,sipw,1668,63
σ2boot,NaN,sipw,1668,63
stabilized,true,sipw,1668,63
ψ,1.494905752327435,onestep,1668,63
σ2,0.00045507225765268125,onestep,1668,63
σ2net,0.0007156324432075209,onestep,1668,63
σ2boot,NaN,onestep,1668,63
ψ,1.4926116852405038,tmle,1668,63
σ2,0.0004314172620961988,tmle,1668,63
σ2net,0.0006904519139310523,tmle,1668,63
σ2boot,NaN,tmle,1668,63
ψ,1.4754144995020066,plugin_iid,1668,63
σ2boot,NaN,plugin_iid,1668,63
ψ,1.4491142325676671,ipw_iid,1668,63
σ2,0.0006217403103148107,ipw_iid,1668,63
σ2net,0.0006217403103148107,ipw_iid,1668,63
σ2boot,NaN,ipw_iid,1668,63
stabilized,false,ipw_iid,1668,63
ψ,1.450245239487039,sipw_iid,1668,63
σ2,0.00043477882790866906,sipw_iid,1668,63
σ2net,0.00043477882790866857,sipw_iid,1668,63
σ2boot,NaN,sipw_iid,1668,63
stabilized,true,sipw_iid,1668,63
ψ,1.469524892748542,onestep_iid,1668,63
σ2,0.00042334105916026955,onestep_iid,1668,63
σ2net,0.00042334105916026933,onestep_iid,1668,63
σ2boot,NaN,onestep_iid,1668,63
ψ,1.4725889948494892,tmle_iid,1668,63
σ2,0.00041581921973440493,tmle_iid,1668,63
σ2net,0.0004158192197344045,tmle_iid,1668,63
σ2boot,NaN,tmle_iid,1668,63
ψ,1.4752393724757027,ols,1668,63
σ2,0.0016511826055300395,ols,1668,63
σ2net,0.0016511826055300395,ols,1668,63
ψ,1.5029937141680254,plugin,1668,64
σ2boot,NaN,plugin,1668,64
ψ,1.4529487606694813,ipw,1668,64
σ2,0.0006436855749077711,ipw,1668,64
σ2net,0.0007414745334760847,ipw,1668,64
σ2boot,NaN,ipw,1668,64
stabilized,false,ipw,1668,64
ψ,1.4543727173967802,sipw,1668,64
σ2,0.00045147575084952503,sipw,1668,64
σ2net,0.0005307040287345648,sipw,1668,64
σ2boot,NaN,sipw,1668,64
