estimate,value,method,samples,i
σ2,0.00039147424554668905,tmle_iid,1668,3
σ2net,0.0003914742455466882,tmle_iid,1668,3
σ2boot,NaN,tmle_iid,1668,3
ψ,1.4715577450209785,ols,1668,3
σ2,0.0016347050877543912,ols,1668,3
σ2net,0.0016347050877543912,ols,1668,3
ψ,1.4963933519134127,plugin,1668,4
σ2boot,NaN,plugin,1668,4
ψ,1.4401833387348535,ipw,1668,4
σ2,0.0007268019718570649,ipw,1668,4
σ2net,0.0009966536699243154,ipw,1668,4
σ2boot,NaN,ipw,1668,4
stabilized,false,ipw,1668,4
ψ,1.4536295115773297,sipw,1668,4
σ2,0.0004422507222915084,sipw,1668,4
σ2net,0.0006358681556705527,sipw,1668,4
σ2boot,NaN,sipw,1668,4
stabilized,true,sipw,1668,4
ψ,1.4934982656459517,onestep,1668,4
σ2,0.0004285261131845656,onestep,1668,4
σ2net,0.0005990728268229661,onestep,1668,4
σ2boot,NaN,onestep,1668,4
ψ,1.4944064148982812,tmle,1668,4
σ2,0.0004395675527505201,tmle,1668,4
σ2net,0.0005993082984919643,tmle,1668,4
σ2boot,NaN,tmle,1668,4
ψ,1.4763064892553726,plugin_iid,1668,4
σ2boot,NaN,plugin_iid,1668,4
ψ,1.4435843805285837,ipw_iid,1668,4
σ2,0.0010189288039757665,ipw_iid,1668,4
σ2net,0.001018928803975766,ipw_iid,1668,4
σ2boot,NaN,ipw_iid,1668,4
stabilized,false,ipw_iid,1668,4
ψ,1.4477739711395115,sipw_iid,1668,4
σ2,0.0004297083357195078,sipw_iid,1668,4
σ2net,0.00042970833571950797,sipw_iid,1668,4
σ2boot,NaN,sipw_iid,1668,4
stabilized,true,sipw_iid,1668,4
ψ,1.474111175950785,onestep_iid,1668,4
σ2,0.0004359998696439041,onestep_iid,1668,4
σ2net,0.00043599986964390394,onestep_iid,1668,4
σ2boot,NaN,onestep_iid,1668,4
ψ,1.4706513806938046,tmle_iid,1668,4
σ2,0.0004141988197337702,tmle_iid,1668,4
σ2net,0.00041419881973377056,tmle_iid,1668,4
σ2boot,NaN,tmle_iid,1668,4
ψ,1.4761754941179497,ols,1668,4
σ2,0.0016814025388946375,ols,1668,4
σ2net,0.0016814025388946375,ols,1668,4
ψ,1.4763876893588643,plugin,1668,5
σ2boot,NaN,plugin,1668,5
ψ,1.435899168836346,ipw,1668,5
σ2,0.0005541177292915634,ipw,1668,5
σ2net,0.0007456569731523881,ipw,1668,5
σ2boot,NaN,ipw,1668,5
stabilized,false,ipw,1668,5
ψ,1.442496793680885,sipw,1668,5
σ2,0.00041293686522688545,sipw,1668,5
σ2net,0.0005748125328544117,sipw,1668,5
σ2boot,NaN,sipw,1668,5
stabilized,true,sipw,1668,5
ψ,1.482395436069109,onestep,1668,5
σ2,0.00043182475337513303,onestep,1668,5
σ2net,0.0005422584855307023,onestep,1668,5
σ2boot,NaN,onestep,1668,5
ψ,1.4740434615833589,tmle,1668,5
σ2,0.00040340231095041274,tmle,1668,5
σ2net,0.0005019811143914495,tmle,1668,5
σ2boot,NaN,tmle,1668,5
ψ,1.4537641774263292,plugin_iid,1668,5
σ2boot,NaN,plugin_iid,1668,5
ψ,1.4360589560572765,ipw_iid,1668,5
σ2,0.0006125398800859245,ipw_iid,1668,5
σ2net,0.0006125398800859244,ipw_iid,1668,5
σ2boot,NaN,ipw_iid,1668,5
stabilized,false,ipw_iid,1668,5
ψ,1.4263819567576368,sipw_iid,1668,5
σ2,0.0004116865069731057,sipw_iid,1668,5
σ2net,0.000411686506973106,sipw_iid,1668,5
σ2boot,NaN,sipw_iid,1668,5
stabilized,true,sipw_iid,1668,5
ψ,1.4493426692509213,onestep_iid,1668,5
σ2,0.0003789468161647175,onestep_iid,1668,5
σ2net,0.00037894681616471775,onestep_iid,1668,5
σ2boot,NaN,onestep_iid,1668,5
ψ,1.4539213793727424,tmle_iid,1668,5
σ2,0.00043693784479644,tmle_iid,1668,5
σ2net,0.00043693784479644047,tmle_iid,1668,5
σ2boot,NaN,tmle_iid,1668,5
ψ,1.4539257450192666,ols,1668,5
σ2,0.0016633357722284185,ols,1668,5
σ2net,0.0016633357722284185,ols,1668,5
ψ,1.5041994852455396,plugin,1668,6
σ2boot,NaN,plugin,1668,6
ψ,1.4584845056578257,ipw,1668,6
σ2,0.000627166547996805,ipw,1668,6
σ2net,0.0009565859132227644,ipw,1668,6
σ2boot,NaN,ipw,1668,6
stabilized,false,ipw,1668,6
ψ,1.4591753128965852,sipw,1668,6
σ2,0.0004227071245624158,sipw,1668,6
σ2net,0.0007342166947705047,sipw,1668,6
σ2boot,NaN,sipw,1668,6
stabilized,true,sipw,1668,6
ψ,1.5064648077159,onestep,1668,6
σ2,0.00042523684130778045,onestep,1668,6
σ2net,0.0006677810539816935,onestep,1668,6
σ2boot,NaN,onestep,1668,6
ψ,1.507164841336775,tmle,1668,6
σ2,0.00043394684717674254,tmle,1668,6
σ2net,0.0007021790686614344,tmle,1668,6
σ2boot,NaN,tmle,1668,6
ψ,1.4848825344175638,plugin_iid,1668,6
σ2boot,NaN,plugin_iid,1668,6
ψ,1.46355303790237,ipw_iid,1668,6
σ2,0.0006442527116799831,ipw_iid,1668,6
σ2net,0.0006442527116799839,ipw_iid,1668,6
σ2boot,NaN,ipw_iid,1668,6
stabilized,false,ipw_iid,1668,6
ψ,1.4597421673056308,sipw_iid,1668,6
σ2,0.00043203960307716823,sipw_iid,1668,6
σ2net,0.00043203960307716796,sipw_iid,1668,6
σ2boot,NaN,sipw_iid,1668,6
stabilized,true,sipw_iid,1668,6
ψ,1.4897708463698658,onestep_iid,1668,6
σ2,0.0004060060474315362,onestep_iid,1668,6
σ2net,0.00040600604743153633,onestep_iid,1668,6
σ2boot,NaN,onestep_iid,1668,6
ψ,1.4847389684149108,tmle_iid,1668,6
